ALBIA	Wild Turkey American Honey Shot Tap	94.50
ALBIA	Gentleman Jack	934.60
ALBIA	Arrow Peppermint Schnapps	930.72
ALBIA	Titos Handmade Vodka	929.76
ALBIA	Prairie Fire	92.80
ALDEN	Kahlua Coffee Liqueur	994.87
ALDEN	Dr. Mcgillicuddy's Apple Pie Schnapps	99.84
ALDEN	Captain Morgan Black Spiced	99.00
ALDEN	Canadian Ltd Whisky	961.63
ALDEN	Tortilla Triple Sec	94.68
ALTA	Jim Beam	944.40
ALTA	Captain Morgan Spiced Rum	681.72
ALTA	Ice Box Mudslide	60.84
ALTA	Smirnoff Vodka 80 Prf	578.46
ALTA	Seagrams Extra Dry Gin	548.64
ARNOLD'S PARK	Romana Black Sambuca	99.88
ARNOLD'S PARK	Kirk & Sweeney	99.42
ARNOLD'S PARK	Windsor Canadian	99.12
ARNOLD'S PARK	Svedka Strawberry Lemonade	99.04
ARNOLD'S PARK	Malibu Coconut Rum	980.38
ARNOLDS PARK	Hennessy Vs Cognac	998.95
ARNOLDS PARK	Wild Turkey American Honey	991.42
ARNOLDS PARK	Iowa Shine	99.29
ARNOLDS PARK	Stolichnaya Russian Vodka 80 Prf	987.19
ARNOLDS PARK	Lady Bligh Spiced Rum	982.96
AVOCA	Scoresby Rare Scotch	998.39
AVOCA	99 Blackberries	99.75
AVOCA	Canadian Mist	99.54
AVOCA	Blue Chair Bay Coconut Spiced	98.91
AVOCA	Paramount Peach Flavored Brandy	98.37
Afton	Five O'clock Vodka	64.80
Afton	Ice Box Mudslide	54.84
Afton	Black Velvet	188.40
Afton	Dekuyper Blackberry Brandy	160.32
Albert City	Canadian Ltd Whisky	82.26
Albert City	Black Velvet	238.80
Arlington	Five O'clock Gin	62.28
Arlington	Black Velvet	59.70
Arlington	Malibu Coconut Rum	33.72
Arlington	Old Crow	283.32
Arlington	Black Velvet Mini	20.40
Arnolds Park	Canadian Ltd Whisky	99.00
Arnolds Park	Paramount Peach Schnapps	97.56
Arnolds Park	Ciroc Luxury Vodka	96.00
Arnolds Park	Jameson	953.10
Arnolds Park	Canadian Reserve Whisky	95.64
Avoca	Paramount Cherry Flavored Brandy	98.64
Avoca	Berentzen Apple	93.06
Avoca	Ten High	80.16
Avoca	Paramount Peach Flavored Brandy	8.22
Avoca	Burnett's Gin London Dry	8.07
BALDWIN	Absolut Swedish Vodka 80 Prf	985.74
BALDWIN	Mccormick Vodka Pet	984.30
BALDWIN	Remy Martin Vsop Cognac	98.91
BALDWIN	Paramount Peach Flavored Brandy	98.52
BALDWIN	Fleischmann's Royal Vodka	94.74
BANCROFT	The Glenlivet w/50ml 15YR & 18YR	99.70
BANCROFT	Rogue Hazelnut Spiced Rum	99.60
BANCROFT	Blue Chair Bay Coconut Spiced Rum Cream	99.54
BANCROFT	Tequila Rose Liqueur Mini	99.50
BANCROFT	Glenmorangie 10YR Discovery Pack w/3 50ml	99.27
BAXTER	Paramount Cherry Flavored Brandy	98.55
BAXTER	Phillips Vodka	971.72
BAXTER	Bailey's Salted Caramel	96.83
BAXTER	Wild Turkey 101	95.21
BAXTER	Chi-Chi's Gold Margarita	911.83
BEDFORD	Titos Vodka	998.54
BEDFORD	Captain Morgan Spiced Rum Pet	991.08
BEDFORD	Ketel One Imported Vodka	98.95
BEDFORD	Paramount White Rum	972.29
BEDFORD	Bailey's Salted Caramel	97.45
BETTENDORF	Don Q Cristal Rum	993.88
BETTENDORF	Red Stag w/4-50mls	99.30
BETTENDORF	Red Stag w/3-50mls	99.30
BETTENDORF	Brown Jug Bourbon Cream	99.00
BETTENDORF	Castillo Silver Rum	99,318.18
BLUE GRASS	Kahlua Coffee Liqueur Mini	99.00
BLUE GRASS	Three Olives Berry Vodka	98.44
BLUE GRASS	Rumple Minze Peppermint Schnapps Liqueur	969.54
BLUE GRASS	Admiral Nelson Spiced Rum Mini	96.35
BLUE GRASS	Red Stag Spiced	95.24
Bellevue	Kessler Blend Whiskey	99.18
Bellevue	Popov Vodka 80 Prf	99.00
Bellevue	1800 Silver Tequila	92.76
Bellevue	J & B Rare Scotch	89.88
Bellevue	Cabo Wabo Blanco	81.78
Bettendorf	Kessler Blend Whiskey Traveler	99.24
Bettendorf	Jose Cuervo Especial Reposado Tequila	989.66
Bettendorf	Barton Vodka	982.80
Bettendorf	Jim Beam Maple Mini	97.20
Bettendorf	Dr. Mcgillicuddy's Cherry Schnapps	963.33
Blue Grass	Mccormick Vodka Pet	99.66
Blue Grass	Fireball Cinnamon Whiskey Mini Dispenser	89.16
Blue Grass	Bacardi Superior Rum Mini	8.31
Blue Grass	Kessler Blend Whiskey Traveler	8.27
Blue Grass	Scoresby Rare Scotch	8.25
Britt	Black Velvet	94.20
Britt	Dekuyper Grape Pucker Schnapps	9.45
Britt	Fireball Cinnamon Whiskey	80.82
Britt	Canadian Woods Canadian Why	77.52
Britt	McCormick Vodka	74.40
Buffalo	Jagermeister Liqueur	97.80
Buffalo	Black Velvet	94.08
Buffalo	Crown Royal Canadian Whisky	72.00
Buffalo	Hawkeye Vodka	618.96
Buffalo	Black Velvet Toasted Caramel	60.78
CAMANCHE	New Amsterdam Gin Mini	99.72
CAMANCHE	Desert Island Long Island Ice Tea Cocktail	98.07
CAMANCHE	Paramount Peppermint Schnapps	97.42
CAMANCHE	Jim Beam Honey	96.87
CAMANCHE	Jim Beam Maple	96.87
CLEAR LAKE	Absolut Pears	994.42
CLEAR LAKE	Midnight Moon Blueberry	992.20
CLEAR LAKE	Dekuyper Mixologist Ginger	99.33
CLEAR LAKE	Kahlua Tin	99.00
CLEAR LAKE	Stolichnaya Blueberi	987.96
COON RAPIDS	Black Velvet Mini	99.48
COON RAPIDS	Paramount Peach Flavored Brandy	98.64
COON RAPIDS	Paramount Cherry Flavored Brandy	98.64
COON RAPIDS	Arrow Blackberry Flav Brandy	96.84
COON RAPIDS	Don Julio Anejo Tequila	96.00
CORWITH	Seagrams 7 Crown Bl Whiskey	987.12
CORWITH	Jose Cuervo Authentic Grapefruit Tangerine Margarita	959.40
